,[S] Renforcer les capacités de gestion financiere dans les prefectures,Date Limite,[S] Etablir un mechanism de paiement pour les employés sur le terrain,Date Limite
National,,,,PNUD: 1 décembre 2014 - 31 mars 2015
Beyla,,,PNUD,
Boffa,,,PNUD,
Boké,,,PNUD,
Conakry,,,PNUD,
Coyah,,,PNUD,
Dabola ,,,PNUD,
Dalaba,,,PNUD,
Dinguiraye,,,PNUD,
Dubréka ,,,PNUD,
Faranah*,,,PNUD,
Forecariah*,,,PNUD,
Fria,,,PNUD,
Gaoual,,,PNUD,
Guéckédou*,,,PNUD,
Kankan ,,,PNUD,
Kérouané ,,,PNUD,
Kindia*,,,PNUD,
Kissidougou,,,PNUD,
Koubia,,,PNUD,
Koundara,,,PNUD,
Kouroussa ,,,PNUD,
Labé,,,PNUD,
Lelouma,,,PNUD,
Lola*,,,PNUD,
Macenta*,,,PNUD,
Mali ,,,PNUD,
Mamou* ,,,PNUD,
Mandiana,,,PNUD,
Nzérékoré*,,,PNUD,
Pita ,,,PNUD,
Siguiri ,,,PNUD,
Télimélé,,,PNUD,
Tougue,,,PNUD,
Yomou*,,,PNUD,
