,[S] Police (Communautaire) de Proximité,Date limite
National,"Formation de 150 policiers de contact de la police de proximité sur la maladie, les moyens de prévention et les techniques de sensibilisation (en 3 sessions de 2 jours chacune).",PNUD: 18 au 28 décembre 2014
Beyla,,
Boffa,,
Boké,,
Conakry,(1) Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry; (2) Création de 10 équipes motorisées (20 motos) d’enquêtes et d’appui à la surveillance épidémiologique dans le site pilote de la police de proximité à Matoto.,PNUD: (1) 11-23 décembre 2014; (2) 15-27 décembre 2014
Coyah,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Dabola ,,
Dalaba,,
Dinguiraye,,
Dubréka ,,
Faranah*,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Forecariah*,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Fria,,
Gaoual,,
Guéckédou*,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Kankan ,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Kérouané ,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Kindia*,,
Kissidougou,,
Koubia,,
Koundara,,
Kouroussa ,,
Labé,,
Lelouma,,
Lola*,,
Macenta*,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Mali ,,
Mamou* ,,
Mandiana,,
Nzérékoré*,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Pita , ,
Siguiri ,Formation des agents des centres de transit et de traitement dans 10 prefectures et 18 unites d'intervention de Conakry,PNUD: 11-23 décembre 2014
Télimélé, ,
Tougue, ,
Yomou*, ,
