"Region","P-Code","Sector","Activity Type","Organisation","Activity","Start Date","End Date"
"#region","#region_id","#sector","#activity_type","#org","#x_activity","#from_date","#to_date"
"National",,"Communications","Campagne médiatique","UNFPA","Emission TV et radio",2014-12-31,
"National",,"Communications","Campagne médiatique","CRG/FICR","Emission TV et radio",,
"Beyla","GIN008001","Communications","Campagne médiatique","PNUD",,2014-10-30,2014-12-31
"Beyla","GIN008001","Communications","Campagne médiatique","Internews","En collaboration avec la radio rurale de Beyla",,
"Beyla","GIN008001","Communications","Campagne médiatique","USAID/Save the Children",,,
"Beyla","GIN008001","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Boffa","GIN001001","Communications","Campagne médiatique","PNUD","Publication dans les médias",2014-12-20,2015-06-20
"Boké","GIN001002","Communications","Campagne médiatique","PNUD","Publication dans les médias ",2014-12-20,2015-06-20
"Boké","GIN001002","Communications","Campagne médiatique","Internews","En collaboration avec la radio rurale de Boké;",,
"Boké","GIN001002","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Conakry","GIN002001","Communications","Campagne médiatique","PNUD","Specialiste en engagement communautaire",2014-12-20,2015-06-20
"Conakry","GIN002001","Communications","Campagne médiatique","Internews","En collaboration avec Nostalgie FM et Soleil FM",,
"Conakry","GIN002001","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",,2014-12-31
"Conakry","GIN002001","Communications","Campagne médiatique","CRG/FICR"," Théatres radio phoniques/ Spots radio",2014-12-15,2015-06-15
"Coyah","GIN005001","Communications","Campagne médiatique","PNUD",,,
"Coyah","GIN005001","Communications","Campagne médiatique","Internews","En collaboration avec Bambou FM",,
"Coyah","GIN005001","Communications","Campagne médiatique","UNFPA","Panneaux et affiches d'IEC ",,
"Coyah","GIN005001","Communications","Campagne médiatique","CRG/FICR",,,
"Dalaba","GIN007001","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Dubreka","GIN005002","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Dubreka","GIN005002","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Faranah","GIN003003","Communications","Campagne médiatique","UNFPA",,,2014-12-31
"Faranah","GIN003003","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
"Forecariah","GIN005003","Communications","Campagne médiatique","PNUD",,2014-12-20,2015-06-20
"Forecariah","GIN005003","Communications","Campagne médiatique","UNFPA","Emissions interactives/Théatres/Spots radio",,2015-05-31
"Forecariah","GIN005003","Communications","Campagne médiatique","CRG/FICR","Emissions interactives/Théatres/Spots radio",2014-12-15,2015-06-15
